"target_id","pAc","smiles"
"O00329",5.3,"CN1C=CC(=CC1=O)C2=CC3=C(C=C2)N=C(S3)N"
"O00329",5.3,"CC(=O)NC1=NN2C=C(C=CC2=N1)C3=CC(=CN=C3)S(=O)(=O)C"
"O00329",5.3,"CC(=O)NC1=NN2C=C(C=CC2=N1)C3=CC(=CC=C3)NS(=O)(=O)C"
"O00329",5.3100000000000005,"CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)NC)C3=CC(=NC=C3)C(C)(C)C"
"O00329",5.33,"COC(=O)C1=C(C=CC(=C1)NC(=O)CC2=NC(=O)C=C(N2)N3CCOCC3)F"
"O00329",5.33,"CN1C2=C(C=CC(=C2Cl)Cl)C3=C1C(=O)NC4(C3C#N)CCNCC4"
"O00329",5.33,"CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=C(C=C3)S(=O)(=O)C)F"
"O00329",5.34,"CC1=NC(=NC(=N1)NCC#C)N2C3=CC=CC=C3N=C2NC4=CC=NN4"
"O00329",5.34,"CC1=NC(=NC(=N1)N)N2C3=CC=CC=C3N=C2NC4=NN(C=C4)C"
"O00329",5.36,"C1=CC(=C(C(=C1)F)F)NS(=O)(=O)C2=C(C=CC(=C2)C3=CN=C(C=N3)N)Cl"
"O00329",5.36,"C[C@@H](CN)N1C2=C(C(=N1)C3=CC(=C(C=C3)F)O)C(=NC=N2)N"
"O00329",5.37,"CC1=CC=CC=C1NC(=O)CC2=NC(=O)C=C(N2)N3CCOCC3"
"O00329",5.37,"CN1C(=O)C=C(N=C1CC(=O)NC2=CC=CC=C2)N3CCOCC3"
"O00329",5.38,"CNC(=O)C1=NC(=CN=C1N)C2=CC(=CC=C2)C3=NNN=N3"
"O00329",5.38,"C1CN(C2=C1C=C(C=C2)Cl)C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4"
"O00329",5.38,"C1COCCN1C2=CC(=O)C3=C(O2)C(=CS3)C4=CC=C(C=C4)C(F)(F)F"
"O00329",5.4,"CCN1C2=C(C3CCCN3C1=S)C(=C(C(=N2)C4=CC(=C(C=C4)OC)O)C#N)N5CCOCC5"
"O00329",5.4,"CC1=C(SC(=N1)NC(=O)N2C[C@@H](C[C@H]2C(=O)N)O)C3=CSC(=N3)C(C)(C)C"
"O00329",5.4,"C1CC1N2C=C(C=N2)C3=CC4=C(C=C3)N=C(S4)N"
"O00329",5.4,"CCNC(=O)NC1=CC=C(C=C1)C2=NC3=C(C(=N2)N4CCOC[C@H]4C)N(C=N3)C"
"O00329",5.4,"CCOC1=NC=C(C=C1)C2=CC3=C(C=C2)N=C(S3)N"
"O00329",5.4,"CC1=NC(=NC(=N1)NCC#N)N2C3=CC=CC=C3N=C2NC4=CC=NN4"
"O00329",5.4,"CC1=CC=CC(=C1)C2=CSC3=C2OC(=CC3=O)N4CCOCC4"
"O00329",5.41,"CC(C)N1C2=C(C(=N1)C3=CC(=C(C(=C3)F)C=O)F)C(=NC=N2)N"
"O00329",5.41,"CN1C2=C(C(=N1)C3=CC4=C(C=C3)OC=CC4=O)C(=NC=N2)N"
"O00329",5.41,"C1CC2=C(C(=O)C1)SC(=N2)N3CCOCC3"
"O00329",5.41,"CC1=C(SC(=N1)NC(=O)N2CC[C@H]([C@H]2C(=O)N)O)C3=CSC(=N3)C4(CC4)C(F)(F)F"
"O00329",5.42,"CC1=C(SC(=N1)NC(=O)N2C[C@@H](C[C@H]2C(=O)N)F)C3=CSC(=N3)C(C)(C)C"
"O00329",5.43,"CCOC1=CC2=C(C=C1)C=C(C=C2)C3=NN(C4=C3C(=NC=N4)N)C"
"O00329",5.43,"CC(C)N1C2=C(C(=N1)C3=CC4=NON=C4C=C3)C(=NC=N2)N"
"O00329",5.43,"C1COCCN1C2=CC(=O)C3=C(O2)C(=CS3)C4=CC=C(C=C4)Cl"
"O00329",5.44,"C1=CC=C(C=C1)/C=C/CN2C3=C(C(=N2)C4=CC5=CC=CC=C5C=C4)C(=NC=N3)N"
"O00329",5.44,"C1CN(CCN1C2=NC(=NC(=N2)N3C4=CC=CC=C4N=C3C(F)F)N5CCOCC5)C(=O)[C@@H](CC6=CC=CC=C6)N"
"O00329",5.44,"CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)/N=C/C2=CN=CC3=CC=CC=C32"
"O00329",5.45,"CCN1C2=C(C3CCCN3C1=S)C(=C(C(=N2)C4=CC(=CC=C4)O)C#N)N5CCOCC5"
"O00329",5.47,"CN1C2=C(C=CC(=C2)C3=CC=CC=C3)N=C1CC4=NC(=O)C=C(N4)N5CCOCC5"
"O00329",5.47,"CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)C/C=C/C2=C3C=C(C=CN3N=C2)Br"
"O00329",5.47,"CC(C)N1C2=C(C(=N1)C3=CC4=C(C=C3)C=NC=C4)C(=NC=N2)N"
"O00329",5.47,"CNC(=O)C1=NC(=CN=C1N)C2=CC(=CC=C2)NS(=O)(=O)C3=CC=CC=C3"
