,target_id,pAc,smiles
1491,O75116,5.51,CS(=O)(=O)NC1=CC=CC(=C1)CN2CCC[C@@H](C2)NC3=CC=CC4=C3C=CN=C4
1492,O75116,5.51,CS(=O)(=O)NC1=CC=CC(=C1)CN2CCC[C@H](C2)NC3=CC=CC4=C3C=CN=C4
1493,O75116,5.52,CN1CCCN(CC1)C2=NC(=CN=C2NCCO)C3=CC=NC=C3
1494,O75116,5.53,CN(C)CCN(C1=CC=C(C=C1)C2=CNN=C2)C(=O)NCC3=CC(=CC=C3)OC
1495,O75116,5.53,CNC(=O)N(CCN(C)C)C1=CC=C(C=C1)C2=CNN=C2
1496,O75116,5.54,CN1CCCN(CC1)C2=NC(=CN=C2N)C3=CC=NN3
1497,O75116,5.54,C1=CC=C(C=C1)CC(=O)NC2=CC3=C(C=C2)C(=O)N=CN3
1498,O75116,5.55,C1CC(CN(C1)CC2=CC=C(C=C2)N3C=CN=C3)NC4=CC5=C(C=C4)NN=C5
1499,O75116,5.55,CN(C)CCN(CC1=CC(=CC=C1)OC)C(=O)C2=CN(C3=C2C=CC(=C3)C4=CNN=C4)CCN5CCCC5
1500,O75116,5.56,C1CC(CN(C1)CC2=CC=C(C=C2)C#N)NC3=CC4=C(C=C3)NN=C4
1501,O75116,5.56,CC(=O)NC1=CC=C(C=C1)CN2CCC(C2)NC3=CC4=C(C=C3)NN=C4
1502,O75116,5.56,COC1=CC=C(C=C1)CNC(=O)NC2=CC=C(C=C2)C3=CNN=C3
1503,O75116,5.57,C[C@@H](C1=CC=CC=C1)N(C)C(=O)NC2=NC(=CS2)C3=CC=NC=C3
1504,O75116,5.57,C[C@H]1CN(CCN1C(=NC2=CC(=CC=C2)Br)NC#N)C3=NC=NC4=C3C(=CN4)C
1505,O75116,5.57,CC(C)(C)C1=CC=C(C=C1)CC2(CCN(CC2)C3=NC=NC4=C3C=CN4)N
1506,O75116,5.57,C1CN(CCC1NC2=CC3=C(C=C2)NN=C3)CC4=CC(=CC=C4)OCCO
1507,O75116,5.59,CC1=CNC2=NC=NC(=C12)C3=CC=C(C=C3)NC(=O)NC4=CC(=CC=C4)OC
1508,O75116,5.59,CS(=O)(=O)C1=CC=C(C=C1)CN2CCCC(C2)NC3=CC=CC4=C3C=CN=C4
1509,O75116,5.6,CN1CCCN(CC1)C2=NC(=CN=C2N)C3=C4C=NNC4=CC=C3
1510,O75116,5.6,C1CN(CCN1CCO)C2=NC(=CN=C2N)C3=CC=NC=C3
1511,O75116,5.6,C1=CC=C(C=C1)[C@H](CO)NC(=O)NC2=NC(=CS2)C3=CC=NC=C3
1512,O75116,5.6,CN1CCCN(CC1)C2=NC(=CN=C2N)C3=CC=NC=C3
1513,O75116,5.6,CC1=C(C=CC(=C1)C(=O)NCC2=CC=CC(=C2)C(=O)NC3=CC=C(C=C3)CN(C)C)OC
1514,O75116,5.61,C1CN(C[C@H]1NC2=CC=CC3=C2C=CN=C3)CC4=CC=C(C=C4)Cl
1515,O75116,5.62,C1CC(CN(C1)CC2=CC=C(C=C2)OCCO)NC3=CC4=C(C=C3)NN=C4
1516,O75116,5.62,CN1C2=C(C=C(C=C2)OC)C(=O)N[C@H](C1=O)CC3=CC=C(C=C3)C4=CC(=NC=C4)N
1517,O75116,5.62,CNC1=NC=C(N=C1N2CCCN(CC2)C)C3=CC=NC=C3
1518,O75116,5.63,CC1=CNC2=NC=NC(=C12)C3=CC=C(C=C3)NC(=O)NC4=CC=CC=C4
1519,O75116,5.64,CN(C)CCN1C(=CC2=C1C=C(C=C2)C3=CNN=C3)C(=O)N(C)CC4=CC(=CC=C4)OC
1520,O75116,5.64,C1=CC=C(C=C1)C[C@@H](CO)NC(=O)NC2=CC3=C(C=C2)NN=C3
1521,O75116,5.64,COC1=C(C=C(C=C1)C(=O)NCC2=CC=CC(=C2)C(=O)NCCC3=CC=NC=C3)OC
1522,O75116,5.64,C1CN(CC1NC2=CC3=C(C=C2)NN=C3)CC4=CC=CC(=C4)C#N
1523,O75116,5.64,CC1=CNC2=NC=NC(=C12)C3=CC=C(C=C3)NC(=O)NC4=NC=CS4
1524,O75116,5.66,C[C@H]1CN(CCN1C(=NC2=CC(=C(C=C2)F)Br)NC#N)C3=NC=NC4=C3C(=CN4)C
1525,O75116,5.67,CC1=NC=C(C=C1)NC(=O)NC2=C(C=C(C=C2)C3=C4C(=CNC4=NC=N3)C)F
1526,O75116,5.67,C1CC(CN(C1)CC2=CC=C(C=C2)SC3CC3)NC4=CC5=C(C=C4)NN=C5
