,target_id,pAc,smiles
7411,P04626,4.96,CN(CCCl)C(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br
7412,P04626,4.96,C1=CC(=CC=C1C2=NNN=C2C#N)Cl
7413,P04626,4.97,C1C(N(N=C1C2=CC=C(C=C2)F)C(=S)N)C3=CC=CC4=CC=CC=C43
7414,P04626,4.97,CC1=NC=C(N1CCOC(=O)/C=C/C2=CC=CC=C2)[N+](=O)[O-]
7415,P04626,4.98,COC1=CC=C(C=C1)C2CC(=NN2C3=NC(=O)CS3)C4=CC=C(C=C4)OC
7416,P04626,4.98,C1C(N(N=C1C2=CC=C(C=C2)F)C3=NC(=O)CS3)C4=CC=CC=C4
7417,P04626,4.98,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)CC2=CC=C(C=C2)F
7418,P04626,4.99,COC1=CC=C(C=C1)C2CC(=NN2C3=NC(=O)CS3)C4=CC=C(C=C4)Cl
7419,P04626,4.99,C1C(=O)N=C(S1)N/N=C/C2=CC(=CC=C2)Br
7420,P04626,4.99,CC1=CC=C(C=C1)C2CC(=NN2C3=NC(=O)CS3)C4=CC=C(C=C4)F
7421,P04626,5.0,C1CCN(CC1)CCNC(=O)C2=C(N=CN=C2NC3=CC(=C(C=C3)OCC4=CC=CC=C4)Cl)N
7422,P04626,5.0,COC1=CC(=CC(=C1O)CSC2=CC=CC=C2C(=O)O)C=C(C#N)C#N
7423,P04626,5.0,C1COCCN1C2=NC3=C(C(=N2)NC4=CC=C(C=C4)S(=O)(=O)N)NC=N3
7424,P04626,5.0,C1=CC=C(C(=C1)NC(=O)C2=CC=C(C=C2)N(CCCl)CCCl)Br
7425,P04626,5.0,COC1=CC(=CC(=C1O)CSCC2=CC=CC=C2)/C=C(\C#N)/C(=O)N
7426,P04626,5.0,COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C#N)OCC4=CC=CC=C4S(=O)(=O)C)OC
7427,P04626,5.0,C1COCCN1CCNC(=O)C2=C(N=CN=C2NC3=CC(=C(C=C3)OCC4=CC=CC=C4)Cl)N
7428,P04626,5.0,C1C(N(N=C1C2=CC=C(C=C2)Cl)C3=NC(=O)CS3)C4=CC=C(C=C4)Cl
7429,P04626,5.0,CC1=NC=C(N1CCOC(=O)/C=C/C2=CC=C(C=C2)C(C)C)[N+](=O)[O-]
7430,P04626,5.0,CC1=CC=C(C=C1)C(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
7431,P04626,5.01,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)O[C@H]4CCC5=CC=CC=C45)Cl)C#N)NC(=O)/C=C/CN(C)C
7432,P04626,5.01,CCC1=C2C(=NC=NN2C=C1CNCC)NC3=CC4=C(C=C3)N(N=C4)CC5=CC=CC=C5
7433,P04626,5.02,CC1=CC(=C(C(=C1)CN(CC2=CC=C(C=C2)O)C(=S)NC3=CC=CC=C3)O)C
7434,P04626,5.02,C1=CC=C(C=C1)NC(=O)N(CC2=CC=C(C=C2)F)CC3=CC(=CC(=C3O)Cl)Cl
7435,P04626,5.02,CC1=CC=C(C=C1)/C=C/C(=O)OCCN2C(=NC=C2[N+](=O)[O-])C
7436,P04626,5.02,CCN(CC)C(C)/C=C/C(=O)NC1=C(C=C2C(=C1)C(=C(C=N2)C#N)NC3=CC(=C(C=C3)F)Cl)OC
7437,P04626,5.02,CN(C)CCOC1=CC=C(C=C1)/C=C/C2=NC=CC(=C2)C3=CC4=C(N3)NC=NC4=O
7438,P04626,5.03,COC1=CC=C(C=C1)C2CC(=NN2C3=NC(=O)CS3)C4=CC=C(C=C4)Br
7439,P04626,5.03,CN(C)C/C=C/C(=O)NC1=CC(=C2C(=C1)C(=C(C=N2)C#N)NC3=CC(=CC=C3)Br)OC
7440,P04626,5.03,CC1=NC=C(N1CCOC(=O)/C=C/C2=CC3=CC=CC=C3C=C2)[N+](=O)[O-]
7441,P04626,5.04,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
7442,P04626,5.04,COC1=CC=C(C=C1)/C=N/NC2=NC(=O)CS2
7443,P04626,5.04,C1C(N(N=C1C2=CC=C(C=C2)Br)C(=S)N)C3=CC=CC4=CC=CC=C43
